"date","weather_str","min_Temperature","max_Temperature","Precipitation","snow"
"20160101","구름많음",-3.3,4,0,0
"20160102","흐림",1,9.5,0,0
"20160103","구름많음",5.1,9.4,0,0
"20160104","구름조금",-2.5,5.3,0,0
"20160105","구름조금",-4.8,1.5,0,0
"20160106","구름많음",-4.9,1.7,0,0
"20160107","맑음",-5.9,1.4,0,0
"20160108","맑음",-6.9,1,0,0
"20160109","구름조금",-6.2,2.4,0,0
"20160110","구름조금",-2.7,3.8,0,0
"20160111","맑음",-6.5,0.9,0,0
"20160112","맑음",-9.1,0.7,0,0
"20160113","눈",-8.2,0.1,0.4,0.5
"20160114","구름조금",-8.4,1.3,0,0
"20160115","구름조금",-4.3,5.3,0,0
"20160116","비",-2.1,2.8,0.1,0
"20160117","구름많음",-0.7,5.4,0,0
"20160118","눈",-12.3,0.4,0.2,0.4
"20160119","맑음",-15.1,-8.9,0,0
"20160120","맑음",-14.5,-5.2,0,0
"20160121","구름조금",-10.2,-2.3,0,0
"20160122","구름조금",-11.1,-3.8,0,0
"20160123","구름조금",-16,-8.3,0,0
"20160124","맑음",-18,-10.5,0,0
"20160125","맑음",-14.3,-3.4,0,0
"20160126","눈",-8.5,1.7,0.3,0.5
"20160127","맑음",-4.7,4.3,0,0
"20160128","구름많음",-5.6,3.5,0,0
"20160129","구름많음",-1.4,5.4,0,0
"20160130","구름조금",-2.5,5.2,0,0
"20160131","구름조금",-6.5,0.3,0,0
"20160201","맑음",-9.1,-1,0,0
"20160202","맑음",-10,0.9,0,0
"20160203","맑음",-8.3,4,0,0
"20160204","구름조금",-4,3.9,0,0
"20160205","맑음",-6.8,3.4,0,0
"20160206","맑음",-6.2,2,0,0
"20160207","맑음",-8.3,3.5,0,0
"20160208","구름많음",-4.3,5.5,0,0
"20160209","맑음",-3.9,5.5,0,0
"20160210","맑음",-4.3,10.7,0,0
"20160211","비",1.6,13.5,0.1,0
"20160212","비",6.8,10,18,0
"20160213","비",5.8,14.4,21,0
"20160214","비",-6.8,5.8,2.5,0
"20160215","맑음",-10,-2.3,0,0
"20160216","눈",-6.7,1.1,0.8,1.2
"20160217","맑음",-5.2,5.4,0,0
"20160218","구름조금",-1.4,7.8,0,0
"20160219","구름많음",0.1,4.4,0,0
"20160220","맑음",-2.5,6.3,0,0
"20160221","구름조금",-4.2,4.4,0,0
"20160222","흐림",-2.2,4.2,0,0
"20160223","눈",-4.5,4.5,0.9,0.3
"20160224","맑음",-6.8,2.2,0,0
"20160225","맑음",-5.8,5.7,0,0
"20160226","구름조금",-3.2,7.5,0,0
"20160227","비",0.5,8.1,0.2,0
"20160228","눈",-2.6,6.9,4.1,5
"20160229","맑음",-5.9,-1.1,0,0
"20160301","맑음",-7.5,2.1,0,0
"20160302","구름많음",-2.2,8.1,0,0
"20160303","구름많음",4.4,13.9,0,0
"20160304","비",6.4,20.3,0.1,0
"20160305","비",9.1,13.5,40,0
"20160306","비",4.3,12.9,0.2,0
"20160307","흐림",4.8,12.2,0,0
"20160308","흐림",-1.4,7,0,0
"20160309","구름조금",-2.7,5.3,0,0
"20160310","맑음",-4.3,3.1,0,0
"20160311","맑음",-5.5,4.6,0,0
"20160312","구름조금",-3.3,6.4,0,0
"20160313","비",1.9,6.5,0.1,0
"20160314","구름조금",1.3,9.6,0,0
"20160315","구름조금",-1,12.4,0,0
"20160316","맑음",2.7,13.8,0,0
"20160317","구름많음",2,14.7,0,0
"20160318","구름조금",8.8,20.1,0,0
"20160319","맑음",6.6,18.1,0,0
"20160320","맑음",4.9,17.5,0,0
"20160321","맑음",5.5,16.1,0,0
"20160322","구름조금",3.5,13.8,0,0
"20160323","구름조금",3.8,13.8,0,0
"20160324","맑음",1.6,12.7,0,0
"20160325","맑음",2.1,12.6,0,0
"20160326","맑음",2.1,12.6,0,0
"20160327","맑음",2.2,13.1,0,0
"20160328","맑음",2.3,17.4,0,0
"20160329","비",7.6,17.1,0.1,0
"20160330","맑음",7,18.3,0,0
"20160331","구름조금",6,21.4,0,0
"20160401","구름조금",7.3,23.8,0,0
"20160402","맑음",9.6,21.7,0,0
"20160403","비",8.2,12.7,2,0
"20160404","맑음",5.1,19.8,0,0
"20160405","맑음",5.9,18.1,0,0
"20160406","비",6.6,22.9,3,0
"20160407","비",10.5,20.6,7.5,0
"20160408","구름조금",7.8,18.7,0,0
"20160409","흐림",7.4,14.1,0,0
"20160410","구름조금",9.3,20.7,0,0
"20160411","맑음",5.7,19.4,0,0
"20160412","구름많음",10.3,19.4,0,0
"20160413","비",11.4,21.4,1,0
"20160414","맑음",9.3,18.6,0,0
"20160415","맑음",8.1,23.1,0,0
"20160416","비",9.8,20.7,23.5,0
"20160417","비",8.3,14.5,20.5,0
"20160418","비",7.1,18.6,1.5,0
"20160419","맑음",6.5,19.2,0,0
"20160420","비",10.1,20.9,0.5,0
"20160421","비",10.3,16.9,17,0
"20160422","흐림",10.1,18.6,0,0
"20160423","구름많음",7.8,19.8,0,0
"20160424","맑음",8.1,23.7,0,0
"20160425","맑음",10.2,25.3,0,0
"20160426","구름많음",12.1,29.6,0,0
"20160427","흐림",14.5,20.7,0,0
"20160428","구름많음",12.4,23,0,0
"20160429","비",10.9,22.6,0.3,0
"20160430","구름조금",10.8,20.4,0,0
"20160501","구름많음",12.2,26,0,0
"20160502","비",16.5,28.4,16.5,0
"20160503","비",8.9,17.6,27,0
"20160504","맑음",10.2,20.6,0,0
"20160505","비",10.2,26.9,7.5,0
"20160506","비",13,18.6,9.5,0
"20160507","맑음",10.7,22.6,0,0
"20160508","구름조금",11.6,26.8,0,0
"20160509","흐림",16.3,25.4,0,0
"20160510","비",12.5,18.1,13.5,0
"20160511","맑음",10.4,23.5,0,0
"20160512","구름조금",12.1,24,0,0
"20160513","비",12.7,25.4,0.5,0
"20160514","구름조금",15.1,26.9,0,0
"20160515","비",12.3,24.2,45,0
"20160516","비",10.8,21.9,2.5,0
"20160517","맑음",10.9,26.6,0,0
"20160518","맑음",13.5,29.5,0,0
"20160519","맑음",16.3,31.9,0,0
"20160520","맑음",16.8,31.6,0,0
"20160521","구름조금",17.8,30.4,0,0
"20160522","구름조금",17.6,31.7,0,0
"20160523","구름많음",18.3,29.4,0,0
"20160524","비",15.4,21.8,38.5,0
"20160525","구름많음",15.3,24.4,0,0
"20160526","흐림",17.5,22.9,0,0
"20160527","구름많음",14.8,27.1,0,0
"20160528","구름조금",17.2,28,0,0
"20160529","구름조금",17.2,27.6,0,0
"20160530","맑음",16.9,28.9,0,0
"20160531","구름조금",17.4,27.6,0,0
"20160601","맑음",17.1,29.9,0,0
"20160602","맑음",17.2,29.1,0,0
"20160603","구름조금",17.6,27.7,0,0
"20160604","구름많음",18.2,26.3,0,0
"20160605","구름조금",17.3,32.2,0,0
"20160606","구름많음",20.8,28.4,0,0
"20160607","비",19.6,25.9,0.1,0
"20160608","구름조금",18.2,27.7,0,0
"20160609","맑음",17.8,31.3,0,0
"20160610","맑음",20.2,31.3,0,0
"20160611","비",20.9,26.5,3,0
"20160612","비",19.9,26.7,1.5,0
"20160613","구름조금",19.4,29.6,0,0
"20160614","구름많음",19.7,29.5,0,0
"20160615","비",17.4,24.5,15.5,0
"20160616","구름많음",18.6,24.9,0,0
"20160617","맑음",18.6,29.1,0,0
"20160618","맑음",20.1,29.9,0,0
"20160619","구름조금",20.3,29.3,0,0
"20160620","구름많음",19.6,30.7,0,0
"20160621","구름많음",21,31.3,0,0
"20160622","비",20.9,30.2,30.5,0
"20160623","비",19.6,29.4,0.1,0
"20160624","비",21.1,25.7,3.5,0
"20160625","구름조금",19.2,26.7,0,0
"20160626","맑음",19.4,30.3,0,0
"20160627","구름많음",19.9,29.5,0,0
"20160628","구름조금",20.4,29.7,0,0
"20160629","구름많음",20.9,30.2,0,0
"20160630","비",23,26.9,0.2,0
"20160701","비",22,26.6,108.5,0
"20160702","비",20.6,27.7,4,0
"20160703","구름많음",21.1,26.8,0,0
"20160704","비",20.2,24.1,29.5,0
"20160705","비",20.2,24.8,100.5,0
"20160706","구름많음",20.3,26.9,0,0
"20160707","구름많음",20.1,28.5,0,0
"20160708","맑음",21.2,32.4,0,0
"20160709","구름조금",23.2,32.7,0,0
"20160710","구름많음",23.2,33.1,0,0
"20160711","흐림",24.8,33.4,0,0
"20160712","비",22.1,30.9,3,0
"20160713","흐림",23.2,29.5,0,0
"20160714","비",24,32.4,0.1,0
"20160715","비",23.7,29.2,1.5,0
"20160716","비",19.8,23.8,46.5,0
"20160717","비",20.4,23.1,2.5,0
"20160718","비",20.7,28.4,0.2,0
"20160719","구름조금",20.9,32.4,0,0
"20160720","구름조금",24,32.9,0,0
"20160721","구름많음",24.9,32.2,0,0
"20160722","구름많음",25.3,34.1,0,0
"20160723","비",27.2,31.6,0.5,0
"20160724","비",27,30.1,0.5,0
"20160725","구름많음",26.4,31.4,0,0
"20160726","구름많음",25.6,31.9,0,0
"20160727","비",26.7,28.9,0.5,0
"20160728","비",26.7,30.5,0.2,0
"20160729","비",23.4,28.4,59.5,0
"20160730","비",26.4,33,0.5,0
"20160731","비",26.6,32.8,0.2,0
"20160801","구름많음",25.8,32.4,0,0
"20160802","비",25,31.1,2,0
"20160803","구름조금",24,34.2,0,0
"20160804","맑음",26,35.7,0,0
"20160805","맑음",26.5,36,0,0
"20160806","맑음",26.6,34,0,0
"20160807","맑음",27,35,0,0
"20160808","맑음",26.4,35.5,0,0
"20160809","비",26.4,33.6,1,0
"20160810","구름조금",26.1,34.8,0,0
"20160811","맑음",26.1,36.4,0,0
"20160812","맑음",26.4,35.9,0,0
"20160813","구름조금",26.8,35.1,0,0
"20160814","비",27.3,31.8,0.2,0
"20160815","구름많음",25.8,34,0,0
"20160816","비",26.2,34.9,0.5,0
"20160817","구름조금",25.1,34.7,0,0
"20160818","구름많음",26.2,34.3,0,0
"20160819","비",26.6,33.2,11.5,0
"20160820","구름많음",26.5,34.9,0,0
"20160821","구름조금",26.9,36.6,0,0
"20160822","비",25.8,36.3,0.4,0
"20160823","비",26,33,8,0
"20160824","구름조금",26.4,32.9,0,0
"20160825","비",24,32.2,4.5,0
"20160826","비",19.5,28.2,20,0
"20160827","구름조금",16.9,29.7,0,0
"20160828","비",18.3,24.5,1.5,0
"20160829","구름조금",17.4,27.1,0,0
"20160830","구름많음",17.9,24.5,0,0
"20160831","비",16.1,19.2,17.5,0
"20160901","구름조금",15.8,28.6,0,0
"20160902","비",20.6,29,4.5,0
"20160903","비",20.4,28.6,0.5,0
"20160904","구름많음",22.1,29.6,0,0
"20160905","구름조금",23,31.1,0,0
"20160906","구름조금",21,29,0,0
"20160907","구름많음",20.9,28.6,0,0
"20160908","비",21.5,26.5,4.5,0
"20160909","구름조금",19.7,29.3,0,0
"20160910","구름많음",20,29.1,0,0
"20160911","구름많음",22.1,28.2,0,0
"20160912","비",21.4,27.5,2.5,0
"20160913","구름조금",19.6,30.8,0,0
"20160914","구름조금",21.4,28.9,0,0
"20160915","흐림",18.8,29.5,0,0
"20160916","흐림",20.4,29.5,0,0
"20160917","비",18.5,28.2,7,0
"20160918","구름조금",20.2,28.3,0,0
"20160919","맑음",18.2,27.8,0,0
"20160920","맑음",15.4,26.8,0,0
"20160921","구름많음",14.3,25.3,0,0
"20160922","구름조금",17.5,27.2,0,0
"20160923","구름조금",16.4,27.9,0,0
"20160924","구름조금",16.5,28.9,0,0
"20160925","구름많음",18.6,29.7,0,0
"20160926","구름조금",19.7,28.9,0,0
"20160927","비",19.1,23.8,13.5,0
"20160928","비",18.7,21.8,0.5,0
"20160929","흐림",18.2,24.8,0,0
"20160930","흐림",17.7,23.5,0,0
"20161001","흐림",17.5,25.6,0,0
"20161002","비",16.7,22.4,18.5,0
"20161003","비",19.6,27.9,6.5,0
"20161004","맑음",15.6,29,0,0
"20161005","구름조금",17.5,27.2,0,0
"20161006","구름조금",13.6,23.5,0,0
"20161007","비",16.5,24.8,2,0
"20161008","비",10.3,21.8,6,0
"20161009","구름조금",6.5,16.6,0,0
"20161010","구름조금",7.4,21.4,0,0
"20161011","구름많음",10,21.1,0,0
"20161012","구름조금",11.4,20.7,0,0
"20161013","구름조금",9.3,21.9,0,0
"20161014","맑음",10.5,23.5,0,0
"20161015","구름조금",12.4,27.1,0,0
"20161016","비",15.4,19.5,1.5,0
"20161017","구름많음",14.5,21.7,0,0
"20161018","구름조금",11.2,24,0,0
"20161019","맑음",14,24.3,0,0
"20161020","맑음",12.9,25.8,0,0
"20161021","흐림",15.7,22,0,0
"20161022","구름많음",14.5,22.8,0,0
"20161023","비",10.6,17.8,2.5,0
"20161024","구름많음",9,20.6,0,0
"20161025","비",12.5,17.5,37,0
"20161026","구름조금",10.5,16.3,0,0
"20161027","구름많음",8.6,20.9,0,0
"20161028","비",10.2,18.4,0.3,0
"20161029","구름많음",3.5,11.2,0,0
"20161030","맑음",1.6,15.1,0,0
"20161031","비",0.7,8.2,0.5,0
"20161101","맑음",-2.4,6.6,0,0
"20161102","비",-2.7,10.5,0.1,0
"20161103","비",4.2,14.1,0.2,0
"20161104","흐림",8.2,15.7,0,0
"20161105","구름많음",12.2,18.1,0,0
"20161106","구름많음",11.9,18.3,0,0
"20161107","비",8.5,17.8,5.5,0
"20161108","비",0.4,8.4,0.5,0
"20161109","맑음",-3.2,8.6,0,0
"20161110","비",1.5,9.8,0.4,0
"20161111","비",6.2,14.2,4,0
"20161112","구름조금",5.1,16.7,0,0
"20161113","비",12.1,18.1,0.5,0
"20161114","비",10.2,15.8,1.5,0
"20161115","맑음",2.5,10.2,0,0
"20161116","맑음",0,12,0,0
"20161117","맑음",4,16.5,0,0
"20161118","구름많음",4.9,14.6,0,0
"20161119","흐림",9.9,18.6,0,0
"20161120","맑음",6.4,15.3,0,0
"20161121","흐림",5.1,14.6,0,0
"20161122","비",-2.1,8.4,0.2,0
"20161123","구름조금",-4.8,3.6,0,0
"20161124","맑음",-6.2,2.4,0,0
"20161125","구름조금",-3.5,6,0,0
"20161126","눈",-0.7,2.7,2.8,0.8
"20161127","구름많음",0.5,6.6,0,0
"20161128","맑음",-1.4,5.6,0,0
"20161129","맑음",-2.8,8.6,0,0
"20161130","비",0.7,9.8,1,0
"20161201","맑음",-1,7,0,0
"20161202","맑음",-3.5,7.9,0,0
"20161203","구름조금",-0.7,11.3,0,0
"20161204","흐림",2,9.5,0,0
"20161205","비",0.5,10.3,1.5,0
"20161206","맑음",-4.2,4.3,0,0
"20161207","구름조금",-2.7,7.5,0,0
"20161208","비",-3,6.1,3,0
"20161209","비",-2.9,4.2,3,0
"20161210","맑음",-5.9,3.6,0,0
"20161211","맑음",-6.1,6.4,0,0
"20161212","흐림",-3,6.3,0,0
"20161213","구름조금",-0.4,8.8,0,0
"20161214","비",-2.3,-0.1,0.1,0
"20161215","맑음",-7.6,-1.5,0,0
"20161216","맑음",-9.8,0,0,0
"20161217","구름많음",-2.7,8,0,0
"20161218","흐림",2.7,8.1,0,0
"20161219","비",4.3,12,0.1,0
